"WORD","SYLL","LETTERS","IMAGE","CONCR","ASSOC"
"time",1,4,4.13,2.47,7
"life",1,4,4.07,2.96,6.78
"home",1,4,6.5,6.25,6.88
"church",1,6,6.63,6.59,7.52
"mind",1,4,3.03,2.6,5.88
"door",1,4,6.6,7,7.96
"college",2,7,6.2,6.38,7.28
"girl",1,4,6.87,6.83,5.12
"university",5,10,6.53,5.87,7.2
"pressure",2,8,4.1,3.63,5.8
"spirit",2,6,3.43,1.86,5.72
"person",2,6,5.83,6.51,5.68
"river",2,5,6.63,6.83,7.52
"paper",2,5,6.3,6.89,7.68
"property",3,8,4.87,5.99,5.76
"earth",1,5,6.27,6.58,7.56
"effort",2,6,3.33,2.22,5.75
"letter",2,6,6.37,6.94,5.96
"hour",1,4,3.6,2.93,5.56
"volume",2,6,4.53,5.14,6.16
"trouble",2,7,3.53,2.25,5.08
"science",1,7,4.07,3.05,6.56
"series",2,6,4.47,3.88,5.36
"length",1,6,3.73,3.75,5.84
"attitude",3,8,2.77,1.83,5.6
"health",1,6,4.1,3.54,6.39
"poet",1,4,5.27,6.35,5.36
"lord",1,4,4.63,4.18,6.68
"king",1,4,6.27,6.34,7.5
"product",2,7,4.2,5.8,5.12
"event",2,5,2.9,3.72,5.04
"judge",1,5,6.27,6.25,7.04
"bottle",2,6,6.57,6.94,7.24
"leader",2,6,5.13,5.83,6.16
"valley",2,6,6.57,6.66,6.56
"master",2,6,4.97,5.53,5.28
"animal",3,6,6.1,6.75,7
"forest",2,6,6.63,6.69,9.12
"newspaper",3,9,6.57,6.56,6.12
"cell",1,4,6.47,6.63,7.52
"dream",1,5,4.6,3.03,5.44
"library",3,7,6.73,6.87,6.4
"duty",2,4,3.17,2.32,5.6
"coast",1,5,6.13,6.59,6.4
"victory",3,7,4.93,2.95,6.12
"circle",2,6,6.23,6,4.88
"contract",2,8,4.5,5.24,6.32
"stone",1,5,6.23,6.96,7.24
"disease",2,7,4.87,5.63,7.44
"silence",2,7,4.1,3.09,5.82
"lip",1,3,6.57,6.93,5.32
"rod",1,3,5.97,6.62,6.04
"hypothesis",4,10,2.4,2.25,5.36
"meadow",2,6,6.43,6.69,8
"violation",4,9,3.57,2.92,5.92
"priest",1,6,6.53,6.59,6.88
"potato",3,6,6.5,7,7.13
"custom",2,6,3.43,2.99,5.33
"physician",3,9,6.37,6.59,5.92
"emancipation",5,12,3.2,2.49,5.2
"vigour",2,6,4.43,2.6,5.72
"tower",2,5,6.53,6.96,6.42
"fur",1,3,6.23,6.69,7.36
"saloon",2,6,6.43,6.7,7.12
"criterion",4,9,1.83,1.93,3
"grief",1,5,4.7,1.86,6.32
"vegetable",4,9,5.83,6.76,6.92
"amazement",3,9,4.47,2.18,4.5
"robbery",3,7,5,4.75,6.16
"grandmother",3,11,6.43,6.66,6.08
"wheat",1,5,6.4,7,7.96
"deed",1,4,3.63,4.19,5.32
"lump",1,4,5.63,6.2,5.44
"nail",1,4,6.5,6.96,6.08
"hostility",4,9,4.23,2.18,5.64
"multiplication",5,14,4.73,3.84,6
"citation",3,8,3.57,4.42,5.06
"shriek",1,6,5.73,5.7,6.92
"bravery",3,7,4.4,1.93,6.44
"panorama",4,8,4.47,4.18,5.72
"distraction",3,11,3.23,2.35,4.12
"greed",1,5,3.53,1.73,5.52
"bandit",2,6,5.83,6.28,6.92
"allegory",4,8,2.13,2.56,4.48
"jelly",2,5,6.4,6.73,6
"settler",2,7,5.4,6.07,6.48
"maiden",2,6,6.1,6.52,5.04
"gingham",2,7,5.33,6.17,5.65
"alimony",4,7,4.47,4.87,5.72
"skillet",2,7,6.1,6.8,7.43
"algebra",3,7,5.17,4.85,6.72
"gender",2,6,2.9,3.63,5.41
"courtship",2,9,5.3,3.22,6.13
"inducement",3,10,2.93,2.34,3.68
"nymph",1,5,5.63,4.4,5.36
"rubble",2,6,5.23,6.18,5.4
"avalanche",4,9,6.27,6.38,6.72
"exertion",3,8,4.33,2.88,6
"leaflet",2,7,5.47,6.62,4.92
"impropriety",5,11,1.87,2.08,3.75
"malady",3,6,3.37,3.72,6
